species	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
Geobacillus thermocatenulatus	0	0	0	0	0	0	0	0	0	0	0	0	0.0570645971239443	15	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus thermodenitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacter anodireducens	0	0	0	0	0	0	0	0	0	0	0	0	0.0114129194247889	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacter bemidjiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377886105127914	2	0	0	0.0151599373389257	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0.00374742364624321	1	0.00339945268811721	2	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacter bremensis	0	0	0	0	0	0	0	0	0.00531310104455567	5	0.00792267469497703	1	0	0	0	0	0.00566829157691872	3	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00686844635743395	3	0	0	0.011212962184285	4	0.013696753869333	1	0	0	0.0237961688168205	14	0	0	0.00377786173026067	2	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Geobacter daltonii	0	0	0	0	0	0	0	0	0	0	0	0	0.0190215323746481	5	0	0	0.00377886105127914	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0.0091579284765786	4	0	0	0.00840972163821378	3	0	0	0	0	0.00849863172029303	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00972163712369163	6	0.00446229361892013	1
Geobacter lovleyi	0	0	0.0141213019840429	4	0.0146254424196332	5	0	0	0.00106262020891113	1	0	0	0.0342387582743666	9	0	0	0.00944715262819786	5	0.00517170045510964	2	0.0101066248926171	2	0.0167364016736402	1	0.0505816894284269	5	0	0	0.0688095940233953	7	0.101971447994562	54	0.00517330574236937	2	0.0251843033105911	11	0	0	0.0196226838224988	7	0.0273935077386659	2	0.0149896945849728	4	0.00849863172029303	5	0.0252291649146413	6	0.011333585190782	6	0.00781127948758007	3	0.025531045751634	5	0	0	0	0	0	0	0.00324054570789721	2	0.00892458723784025	2
Geobacter metallireducens	0	0	0	0	0.00292508848392664	1	0.00891623200035665	4	0	0	0	0	0	0	0.0216743429964779	4	0.00944715262819786	5	0.0181009515928837	7	0.00505331244630856	1	0	0	0	0	0.0151154442051166	4	0	0	0.0207719616285218	11	0	0	0.0274737854297358	12	0	0	0.0196226838224988	7	0	0	0.0112422709387296	3	0.0118980844084102	7	0	0	0.00377786173026067	2	0.00520751965838671	2	0	0	0	0	0	0	0	0	0.00972163712369163	6	0	0
Geobacter pelophilus	0	0	0.00706065099202146	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258665287118469	1	0.00686844635743395	3	0.00587509547030139	2	0.011212962184285	4	0	0	0	0	0.00169972634405861	1	0.00420486081910689	1	0.00377786173026067	2	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00486081856184582	3	0	0
Geobacter pickeringii	0	0	0	0	0	0	0	0	0.00531310104455567	5	0	0	0	0	0	0	0.00566829157691872	3	0	0	0	0	0	0	0.0101163378856854	1	0	0	0	0	0	0	0	0	0.0137368927148679	6	0	0	0.00560648109214252	2	0	0	0.00374742364624321	1	0	0	0	0	0.00944465432565168	5	0.00520751965838671	2	0.0051062091503268	1	0	0	0	0	0.00478514690400995	1	0.0016202728539486	1	0	0
